wavelength,flux
562.8,0.587849241
563.4,0.571140612
564.1,0.564502937
564.8,0.567356374
565.5,0.574711223
566.1,0.562397192
566.8,0.563785763
567.5,0.546009003
568.2,0.534656291
568.8,0.559986267
569.5,0.549320211
570.2,0.546573587
570.9,0.533282979
571.5,0.537906462
572.2,0.517520409
572.9,0.513324178
573.6,0.518161288
574.2,0.533374533
574.9,0.531100938
575.6,0.526584268
576.3,0.528476387
576.9,0.522082856
577.6,0.515490959
578.3,0.506625467
579,0.518496986
579.6,0.512591745
580.3,0.499468986
581,0.50299382
581.7,0.521701381
582.3,0.518741131
583,0.517627222
583.7,0.522311742
584.4,0.524875257
585,0.521899748
585.7,0.526691081
586.4,0.534656291
587.1,0.518741131
587.8,0.514987411
588.4,0.505725185
589.1,0.511523613
589.7,0.51407187
590.4,0.507754635
591,0.476916152
591.7,0.446626993
592.4,0.46820325
593,0.4964477
593.7,0.500567636
594.3,0.490069429
595,0.496295109
595.6,0.487139696
596.3,0.48848249
597,0.483263905
597.6,0.486880293
598.3,0.494479286
598.9,0.491808957
599.6,0.495165942
600.3,0.480288396
600.9,0.480975051
601.6,0.490084688
602.2,0.48802472
602.9,0.485720607
603.5,0.47677882
604.2,0.477694362
604.9,0.480929274
605.5,0.486681926
606.2,0.4892607
606.8,0.494448768
607.5,0.477938506
608.2,0.461062028
608.8,0.464129091
609.5,0.472460517
610.1,0.458590066
610.8,0.472994583
611.4,0.464251164
612.1,0.452654307
612.8,0.454500649
613.4,0.4530663
614.1,0.439745174
614.7,0.43295491
615.4,0.428621347
616.1,0.415849546
616.7,0.437746242
617.4,0.43092546
618,0.422426184
618.7,0.417055009
619.3,0.432939651
620,0.423250172
620.7,0.429185931
621.3,0.428209354
622,0.427736324
622.6,0.435152209
623.3,0.426836042
624,0.417833219
624.6,0.420198367
625.3,0.419542229
625.9,0.409578088
626.6,0.406511025
627.2,0.404786755
627.9,0.400773632
628.6,0.396531624
629.2,0.411912718
629.9,0.383698787
630.5,0.379014267
631.2,0.384858473
631.8,0.380753796
632.5,0.381516747
633.2,0.39051957
633.8,0.374421302
634.5,0.371995117
635.1,0.387269398
635.8,0.38130312
636.5,0.379945068
637.1,0.384980545
637.8,0.380357061
638.4,0.376374456
639.1,0.382798505
639.7,0.383149462
640.4,0.373688869
641.1,0.375718318
641.7,0.370118257
642.4,0.362717632
643,0.364838636
643.7,0.351486992
644.3,0.356003662
645,0.364914931
645.6,0.366135653
646.3,0.35681239
646.9,0.361832609
647.6,0.348175784
648.2,0.347428092
648.9,0.346375219
649.5,0.33778439
650.2,0.334305333
650.8,0.330627909
651.5,0.322891585
652.1,0.327606622
652.8,0.333588159
653.4,0.33497673
654.1,0.328186465
654.7,0.327469291
655.4,0.335053025
656,0.307708858
656.7,0.307632563
657.3,0.298660258
658,0.271529717
658.6,0.239439994
659.3,0.281127642
659.9,0.300354009
660.6,0.319824521
661.2,0.306060883
661.9,0.296768139
662.5,0.306243992
663.2,0.307785153
663.8,0.303710994
664.5,0.300048829
665.1,0.302139315
665.8,0.286895552
666.4,0.293594263
667.1,0.298400855
667.8,0.284164187
668.4,0.28910811
669.1,0.287627985
669.7,0.295364309
670.4,0.286834516
671.1,0.284911879
671.7,0.28068513
672.4,0.28692607
673.1,0.288986038
673.7,0.273894865
674.4,0.279342336
675.1,0.280120546
675.7,0.271117723
676.4,0.276214237
677.1,0.274398413
677.7,0.283508049
678.4,0.266997787
679.1,0.259108873
679.7,0.274093233
680.4,0.257964446
681.1,0.255507744
681.7,0.26399176
682.4,0.258498512
683.1,0.254241245
683.7,0.265105669
684.4,0.258590066
685.1,0.254897383
685.7,0.246642252
686.4,0.230421912
687.1,0.238509194
687.7,0.234053559
688.4,0.215025559
689.1,0.15618677
689.7,0.138791485
690.4,0.171262684
691.1,0.1828748
691.7,0.170881209
692.4,0.183149462
693.1,0.186567483
693.7,0.198912032
694.4,0.205687037
695.1,0.201689174
695.7,0.200621042
696.4,0.198301671
697.1,0.194151217
697.7,0.201780728
698.4,0.205717556
699.1,0.204908827
699.7,0.203291371
700.4,0.207808042
701.1,0.209471275
701.7,0.207640192
702.4,0.205778592
703.1,0.207380789
703.7,0.20315404
704.4,0.201017777
705.1,0.206572061
705.7,0.205854887
706.4,0.204390021
707.1,0.209990082
707.7,0.207197681
708.4,0.205427634
709.1,0.20704509
709.7,0.207350271
710.4,0.204191653
711,0.19659266
711.7,0.200468452
712.4,0.201994354
713,0.19082475
713.7,0.192945754
714.3,0.195417716
715,0.185346761
715.7,0.18224918
716.3,0.184400702
717,0.186735332
717.6,0.164686046
718.3,0.169660487
719,0.16305333
719.6,0.142392615
720.3,0.137692836
720.9,0.128552682
721.6,0.132138552
722.3,0.122128634
722.9,0.129697108
723.6,0.132504768
724.2,0.152799268
724.9,0.149060807
725.6,0.139905394
726.2,0.131116197
726.9,0.125683986
727.5,0.128308537
728.2,0.134290074
728.9,0.124188602
729.5,0.127087816
730.2,0.12811017
730.8,0.126019684
731.5,0.121762417
732.2,0.12685893
732.8,0.12623331
733.5,0.127225147
734.1,0.127911803
734.8,0.135846494
735.5,0.122327001
736.1,0.127316701
736.8,0.139401846
737.4,0.132535286
738.1,0.131772335
738.8,0.134991989
739.4,0.131451896
740.1,0.129712367
740.8,0.12983444
741.4,0.127057298
742.1,0.117444114
742.7,0.127988098
743.4,0.125958648
744.1,0.121930266
744.7,0.126797894
745.4,0.117489891
746,0.11828336
746.7,0.123105211
747.4,0.121441978
748,0.118390173
748.7,0.1235935
749.4,0.111599908
750,0.112698558
750.7,0.119412528
751.3,0.113156329
752,0.115918212
752.7,0.110241855
753.3,0.114712749
754,0.109051652
754.7,0.108776989
755.3,0.111309987
756,0.106991684
756.6,0.111432059
757.3,0.113537804
758,0.107907225
758.6,0.104336614
759.3,0.09597467
760,0.10284123
760.6,0.091976806
761.3,0.080395209
761.9,0.060573739
762.6,0.030620279
763.3,0.026179904
763.9,0.031123827
764.6,0.038081941
765.3,0.03200885
765.9,0.032848096
766.6,0.036952773
767.2,0.038921187
767.9,0.050228122
768.6,0.059276722
769.2,0.064373236
769.9,0.07709926
770.6,0.073391318
771.2,0.07647364
771.9,0.074108492
772.5,0.075527581
773.2,0.082668803
773.9,0.083660639
774.5,0.080410468
775.2,0.079418631
775.9,0.087048142
776.5,0.076092164
777.2,0.076748302
777.8,0.078686198
778.5,0.075512322
779.2,0.076214237
779.8,0.076458381
780.5,0.074551003
781.2,0.078640421
781.8,0.069408713
782.5,0.069164569
783.1,0.073223468
783.8,0.071758602
784.5,0.073849088
785.1,0.070476844
785.8,0.07256733
786.5,0.073543908
787.1,0.069835966
787.8,0.066234836
788.4,0.070614176
789.1,0.063701839
789.8,0.062648966
790.4,0.064052796
791.1,0.061000992
791.8,0.066143282
792.4,0.065578698
793.1,0.058483253
793.7,0.059078355
794.4,0.059078355
795.1,0.06180972
795.7,0.05385977
796.4,0.059536126
797.1,0.057491417
797.7,0.055187304
798.4,0.050807965
799.1,0.060619516
799.7,0.052059205
800.4,0.058635843
801.1,0.057262531
801.7,0.05682002
802.4,0.057735561
803.1,0.050640116
803.7,0.053432517
804.4,0.053630884
805.1,0.055629816
805.7,0.053722438
806.4,0.047588312
807.1,0.050899519
807.7,0.053051041
808.4,0.052196536
809.1,0.05884947
809.7,0.046565957
810.4,0.048061341
811.1,0.04511635
811.7,0.047878233
812.4,0.047740902
813.1,0.045635157
813.7,0.0480766
814.4,0.053905547
815.1,0.045223163
815.7,0.04526894
816.4,0.047847715
817.1,0.042858015
817.7,0.037593652
818.4,0.042217136
819.1,0.041286336
819.7,0.038036164
820.4,0.040355535
821.1,0.043498894
821.7,0.037135882
822.4,0.036922255
823.1,0.041850919
823.7,0.034679179
824.4,0.042537575
825.1,0.041133745
825.7,0.035381094
826.4,0.03466392
827.1,0.040721752
827.7,0.044322881
828.4,0.039317922
829.1,0.040721752
829.7,0.038554971
830.4,0.038356603
831.1,0.041408408
831.7,0.045040055
832.4,0.034312963
833.1,0.039165332
833.7,0.034801251
834.4,0.034526589
835.1,0.034862287
835.7,0.032191958
836.4,0.0380972
837.1,0.042949569
837.7,0.040141909
838.4,0.041698329
839.1,0.037059586
839.7,0.038585489
840.4,0.038142977
841.1,0.040019837
841.7,0.036479744
842.4,0.039058518
843.1,0.041499962
843.7,0.036662852
844.4,0.037883574
845.1,0.037517357
845.7,0.036601816
846.4,0.037395285
847.1,0.045009537
847.7,0.040462348
848.4,0.035320058
849.1,0.036235599
849.7,0.03107805
850.4,0.040416571
851.1,0.037975128
851.7,0.043361563
852.4,0.033488975
853.1,0.036586557
853.7,0.034709697
854.4,0.033687343
855.1,0.034999619
855.7,0.030910201
856.4,0.038387121
857.1,0.030009918
857.7,0.035335317
858.4,0.032344549
859.1,0.032863355
859.7,0.030543984
860.4,0.039134813
861.1,0.032298772
861.7,0.031429007
862.4,0.036525521
863.1,0.032451362
863.7,0.031596857
864.4,0.031200122
865.1,0.0349691
865.8,0.029079118
866.4,0.029185931
867.1,0.034389258
867.7,0.033244831
868.4,0.034557107
869.1,0.031459525
869.7,0.032069886
870.4,0.031688411
871.1,0.036952773
871.7,0.036128786
872.4,0.030788128
873.1,0.036906996
873.7,0.030589761
874.4,0.036617075
875.1,0.030238804
875.7,0.031947814
876.4,0.030666056
877.1,0.031871519
877.7,0.028316167
878.4,0.035869383
879.1,0.03373312
879.7,0.028239872
880.4,0.03200885
881.1,0.027415885
881.7,0.035091173
882.4,0.031154345
883.1,0.031825742
883.7,0.031108568
884.4,0.030803388
885.1,0.025874723
885.7,0.027751583
886.4,0.028453498
887.1,0.026134127
887.7,0.03419089
888.4,0.023418021
889.1,0.031825742
889.7,0.030238804
890.4,0.024318303
891.1,0.028361944
891.7,0.028880751
892.4,0.02842298
893.1,0.030482948
893.7,0.03373312
894.4,0.02733959
895.1,0.031123827
895.7,0.030162509
896.4,0.025905241
897.1,0.027934691
897.7,0.02935378
898.4,0.031017014
899.1,0.024776074
899.7,0.029216449
